"","date","sp500 open","sp500 close","sp500 high-low","sp500 volume","nasdaq open","nasdaq close","nasdaq high-low","nasdaq volume","us_rates_%","CPI","usd_chf","eur_usd","GDP","silver high-low","oil high-low","platinum high-low","palladium high-low","gold high-low"
"1",2010-01-14,114.49,114.93,0.719999999999999,115646960,46.26,46.39,0.300000000000004,75209000,0.13,217.281,1.0206,1.4478,14980.193,0.25,0.559999999999995,2.13,1.16,1.58
"2",2010-01-15,114.73,113.64,1.64,212252769,46.46,45.85,0.899999999999999,126849300,0.13,217.281,1.0264,1.4376,14980.193,0.18,0.740000000000002,1.75,1.36,1.63000000000001
"3",2010-01-19,113.62,115.06,1.53999999999999,138671890,45.96,46.59,0.689999999999998,84388200,0.13,217.281,1.034,1.4269,14980.193,0.289999999999999,0.919899999999998,3.02779999999998,1.38,0.920000000000002
"4",2010-01-20,114.28,113.89,1.47,216330645,46.27,45.92,1.174,145680000,0.13,217.281,1.0453,1.4094,14980.193,0.529999999999998,0.469999999999999,4.41999999999999,2.14,1.59
"5",2010-01-21,113.92,111.7,2.70999999999999,344747028,46.06,45.49,1.05,204939600,0.13,217.281,1.0426,1.4106,14980.193,0.59,1.31999999999999,3.38,1.91,2.17
"6",2010-01-22,111.2,109.21,2.64999999999999,345627282,45.34,44.16,1.44,171098700,0.13,217.281,1.04,1.4154,14980.193,0.283999999999999,0.770000000000003,3.71000000000001,1.786,1.67
"7",2010-01-25,110.21,109.77,1,186751367,44.39,44.31,0.480000000000004,154218700,0.13,217.281,1.0403,1.4146,14980.193,0.18,0.580000000000005,1.26999999999998,0.990000000000002,0.650000000000006
"8",2010-01-26,109.34,109.31,1.42999999999999,210788669,44.28,44.35,0.840000000000003,140816500,0.13,217.281,1.0466,1.4063,14980.193,0.460000000000001,0.579999999999998,2.83999999999997,0.719999999999999,1.24
"9",2010-01-27,109.17,109.83,1.75,271482263,44.29,44.7,0.840000000000003,161632700,0.13,217.281,1.0472,1.4053,14980.193,0.279999999999998,1.13,4.92999999999998,1.51,2.64
"10",2010-01-28,110.19,108.57,2.34,315523641,44.4,43.55,1.11,221439800,0.13,217.281,1.0517,1.3993,14980.193,0.670000000000002,0.609999999999999,3.42000000000002,1.78,2.05
"11",2010-01-29,109.04,107.39,2.58,310523229,43.9,42.79,1.39,212099600,0.13,217.281,1.0557,1.387,14980.193,0.269500000000001,1,2.99949999999998,1.06,1.03
"12",2010-02-01,108.15,109.06,1.56999999999999,187376305,42.91,43.26,0.400700000000001,136827100,0.13,217.281,1.0586,1.3904,14980.193,0.43,0.959999999999994,3.08000000000001,1.15,2.11
"13",2010-02-02,109.26,110.38,1.71000000000001,216202000,43.31,43.65,0.75,110727700,0.16,217.353,1.0557,1.3955,14980.193,0.1767,1.1601,2.9299,0.640000000000001,0.989999999999995
"14",2010-02-03,109.88,109.83,0.969999999999999,172541928,43.45,43.89,0.549999999999997,93581600,0.16,217.353,1.059,1.3907,14980.193,0.3201,0.670000000000002,2.28999999999999,1.08,1.10950000000001
"15",2010-02-04,108.98,106.44,2.61,356204273,43.58,42.62,1.04,151652500,0.16,217.353,1.0655,1.3759,14980.193,0.769500000000001,1.64,5.34,2.13,3.05
"16",2010-02-05,106.56,106.66,2.3,493483874,42.75,42.98,0.900000000000006,213618600,0.16,217.353,1.0779,1.3608,14980.193,0.541700000000001,1.98,3.86000000000001,2.06,2.40000000000001
"17",2010-02-08,106.74,105.89,1.52,223943088,42.92,42.67,0.539999999999999,94354400,0.16,217.353,1.0696,1.3699,14980.193,0.279999999999999,0.68,1.505,0.82,1.14
"18",2010-02-09,107.13,107.22,1.88000000000001,337698759,43.17,43.11,0.75,118956000,0.16,217.353,1.0641,1.3795,14980.193,0.42,2.388,2.41500000000002,0.620000000000005,1.28
"19",2010-02-10,107.05,107.01,1.49,240337447,43.1,43.02,0.560000000000002,94102900,0.16,217.353,1.0682,1.3722,14980.193,0.31,1.15000000000001,2.24000000000001,1.02,1.39
"20",2010-02-11,106.87,108.13,2,223348428,43.01,43.67,1.03,93050800,0.16,217.353,1.0747,1.364,14980.193,0.520000000000001,1.13,3.30499999999998,0.990000000000002,2.29000000000001
"21",2010-02-12,106.99,108.04,1.58999999999999,304335521,43.27,43.76,0.720000000000006,93938500,0.16,217.353,1.0767,1.3625,14980.193,0.309999999999999,0.769999999999996,2.56,0.989899999999999,1.53
"22",2010-02-16,108.86,109.74,2.03,159025359,44.08,44.32,0.5,83861400,0.16,217.353,1.0681,1.3742,14980.193,0.41,0.75,1.40000000000001,0.390000000000001,0.77000000000001
"23",2010-02-17,110.27,110.26,0.670000000000002,168609976,44.5,44.57,0.310000000000002,82691700,0.16,217.353,1.0768,1.3623,14980.193,0.369999999999999,0.509999999999998,2.25,0.590000000000003,1.14
"24",2010-02-18,110.08,110.91,1.09999999999999,192806015,44.54,44.85,0.479999999999997,65752600,0.16,217.353,1.0806,1.3563,14980.193,0.279999999999998,0.719999999999999,1.72999999999999,0.669999999999995,0.920000000000002
"25",2010-02-19,110.62,111.14,1.20999999999999,215567204,44.76,44.83,0.43,80416500,0.16,217.353,1.0824,1.3538,14980.193,0.517900000000001,0.660000000000004,3.37,1.65,1.58
"26",2010-02-22,111.55,111.16,0.75,132148949,45.01,44.74,0.469999999999999,72055000,0.16,217.353,1.0773,1.359,14980.193,0.240000000000002,0.43,2.03,0.759999999999998,1.31
"27",2010-02-23,110.86,109.81,1.68000000000001,206922860,44.69,44.16,0.789999999999999,95814400,0.16,217.353,1.0818,1.3537,14980.193,0.23,0.609999999999999,1.78,1.18,1.25999999999999
"28",2010-02-24,110.14,110.82,1.14,176170766,44.4099,44.61,0.469999999999999,86591000,0.16,217.353,1.0779,1.3576,14980.193,0.15,0.82,1.15000000000001,1.02,1.06
"29",2010-02-25,109.24,110.67,1.81,259023227,44.11,44.6,0.870000000000005,97961300,0.16,217.353,1.0858,1.3476,14980.193,0.520000000000001,0.609999999999999,2.27600000000001,0.909999999999997,2.10000000000001
"30",2010-02-26,110.77,110.74,1.01,173425228,44.6,44.76,0.460000000000001,66222400,0.16,217.353,1.0711,1.366,14980.193,0.390000000000001,0.689999999999998,1.59999999999999,0.5,1.19
"31",2010-03-01,111.2,111.89,0.829999999999998,147507319,44.95,45.41,0.539999999999999,77290100,0.16,217.353,1.0827,1.3516,14980.193,0.199999999999999,1.12,1.29999999999998,0.490000000000002,0.930000000000007
"32",2010-03-02,112.37,112.2,0.739999999999995,160920705,45.54,45.55,0.399999999999999,76368500,0.2,217.403,1.079,1.3564,14980.193,0.451599999999999,0.870000000000005,1.47999999999999,0.490000000000002,1.59
"33",2010-03-03,112.49,112.3,0.950000000000003,150552463,45.67,45.6,0.390000000000001,65735500,0.2,217.403,1.0652,1.3731,14980.193,0.195499999999999,0.859999999999999,1.18800000000002,0.980499999999999,1.00370000000001
"34",2010-03-04,112.45,112.64,0.769999999999996,135526954,45.64,45.75,0.410000000000004,54470900,0.2,217.403,1.078,1.3571,14980.193,0.218,0.464999999999996,1.50999999999999,1.45,1.15000000000001
"35",2010-03-05,113.37,114.25,1.24000000000001,176047042,46.1,46.44,0.549999999999997,68136300,0.2,217.403,1.0751,1.3608,14980.193,0.234099999999998,0.390000000000001,1.22990000000002,1.16,0.950000000000003
"36",2010-03-08,114.26,114.27,0.450000000000003,114525089,46.46,46.53,0.200000000000003,58712400,0.2,217.403,1.0744,1.3613,14980.193,0.379999999999999,0.719999999999999,1.90000000000001,0.849899999999998,1.78
